epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.559,1.69355,2.63977,1.36669,0.01318,0.59883,0.2402,0.15019,1.25358,3.12254,1.07875,0.000465256,0.000465256,0.000465256
2,489.248,1.36465,1.45875,1.09981,0.84544,0.26161,0.35046,0.20586,1.3227,2.06054,1.09218,0.000910517,0.000910517,0.000910517
3,737.34,1.27618,1.23414,1.06996,0.52452,0.40002,0.42013,0.2431,1.27721,1.55455,1.10876,0.00132434,0.00132434,0.00132434
4,1003.3,1.24589,1.16432,1.0511,0.56287,0.49462,0.50318,0.30463,1.23528,1.45976,1.0875,0.00128753,0.00128753,0.00128753
5,1262.09,1.21969,1.07471,1.05049,0.64277,0.54629,0.58664,0.35182,1.21966,1.25336,1.06024,0.00124037,0.00124037,0.00124037
6,1518.21,1.19612,0.98055,1.04261,0.64492,0.64503,0.67053,0.40818,1.16302,1.00465,1.04354,0.00119322,0.00119322,0.00119322
7,1779.4,1.17563,0.92356,1.03305,0.82796,0.62106,0.67676,0.399,1.23586,1.01768,1.07189,0.00114606,0.00114606,0.00114606
8,2028.17,1.18272,0.89586,1.02811,0.79556,0.61356,0.7044,0.44657,1.1179,1.05072,1.03223,0.0010989,0.0010989,0.0010989
9,2284.34,1.13928,0.8549,1.0194,0.69761,0.66554,0.69281,0.43209,1.1332,0.94025,1.02707,0.00105174,0.00105174,0.00105174
10,2550.55,1.18653,0.84366,1.013,0.7497,0.67113,0.74632,0.47448,1.114,0.83945,1.01669,0.00100459,0.00100459,0.00100459
11,2855.29,1.11636,0.7765,0.99791,0.77007,0.59938,0.69334,0.43424,1.10941,0.87138,1.01681,0.00095743,0.00095743,0.00095743
12,3150.07,1.11521,0.77182,1.00357,0.81163,0.7132,0.78608,0.50095,1.07327,0.80478,1.00345,0.000910273,0.000910273,0.000910273
13,3424.84,1.101,0.76212,0.99007,0.82756,0.69393,0.77694,0.51047,1.0642,0.73736,1.00092,0.000863116,0.000863116,0.000863116
14,3706.76,1.07601,0.71612,0.98504,0.84648,0.6984,0.76746,0.48816,1.10754,0.73139,1.01049,0.000815959,0.000815959,0.000815959
15,3986.8,1.09847,0.71627,0.99716,0.73758,0.73079,0.75589,0.50383,1.05003,0.74446,0.9923,0.000768802,0.000768802,0.000768802
16,4209.95,1.07217,0.69666,0.98514,0.73848,0.71682,0.74467,0.47921,1.09813,0.76752,1.00581,0.000721645,0.000721645,0.000721645
17,4420.06,1.08323,0.69058,0.98178,0.83123,0.72009,0.77753,0.50218,1.07027,0.6805,0.99434,0.000674488,0.000674488,0.000674488
18,4629.48,1.06295,0.65485,0.97935,0.83602,0.71678,0.78036,0.51161,1.06249,0.69299,1.0025,0.000627331,0.000627331,0.000627331
19,4840.07,1.05152,0.6386,0.97169,0.8012,0.76212,0.80197,0.53085,1.03897,0.66923,0.98348,0.000580174,0.000580174,0.000580174
20,5051.46,1.04812,0.62853,0.96603,0.83592,0.70084,0.79622,0.52834,1.05578,0.6535,0.98977,0.000533017,0.000533017,0.000533017
21,5260.51,1.02157,0.64104,0.96273,0.79687,0.74522,0.7792,0.50442,1.05268,0.70966,0.99771,0.00048586,0.00048586,0.00048586
22,5468.76,1.01387,0.60405,0.95284,0.83571,0.72038,0.79471,0.51323,1.04381,0.66745,0.98786,0.000438703,0.000438703,0.000438703
23,5677.04,1.00222,0.58965,0.95547,0.85965,0.7742,0.81883,0.53348,1.03914,0.64006,0.99245,0.000391546,0.000391546,0.000391546
24,5886.5,0.9806,0.56883,0.9466,0.88472,0.74574,0.82204,0.54448,0.99861,0.6428,0.97043,0.000344389,0.000344389,0.000344389
25,6117.93,0.98387,0.55695,0.94589,0.85084,0.74675,0.80135,0.52677,1.02831,0.6183,0.98445,0.000297232,0.000297232,0.000297232
26,6361.89,0.97162,0.54542,0.94709,0.88016,0.75305,0.82414,0.54197,1.01863,0.62387,0.98072,0.000250075,0.000250075,0.000250075
27,6602.66,0.95863,0.53735,0.93353,0.88667,0.73643,0.8271,0.54523,1.02031,0.60485,0.97987,0.000202918,0.000202918,0.000202918
28,6827.66,0.94596,0.52764,0.93682,0.86699,0.76395,0.83,0.53364,1.04123,0.5957,0.98668,0.000155761,0.000155761,0.000155761
29,7056.4,0.9382,0.51403,0.92378,0.88828,0.74981,0.82716,0.53468,1.03666,0.61821,0.9826,0.000108604,0.000108604,0.000108604
30,7280.5,0.93341,0.51141,0.92681,0.82058,0.78553,0.8297,0.54178,1.01965,0.60148,0.97936,6.1447e-05,6.1447e-05,6.1447e-05
